A¤o/Trimestre,Tasa de inter‚s,Tasa de inflaci¢n
1980/01,19.81615385,2.75
1980/02,22.18615385,2.0375
1980/03,21.91384615,1.87
1980/04,26.12230769,2.27
1981/01,28.80846154,2.52
1981/02,28.30307692,1.7325
1981/03,32.63384615,1.975
1981/04,33.52928571,2.95
1982/01,35.16666667,4.4925
1982/02,43.24,5.2525
1982/03,53.00928571,6.7225
1982/04,51.38846154,7.95
1983/01,62.26538462,6.855
1983/02,63.01615385,4.85
1983/03,58.43461538,3.805
1983/04,54.22076923,4.955
1984/01,49.80846154,5.0575
1984/02,49.56307692,3.6375
1984/03,50.60923077,3.1475
1984/04,48.37153846,4.6475
1985/01,51.58769231,4.63
1985/02,61.20230769,2.8575
1985/03,71.62230769,3.91
1985/04,69.89384615,6.015
1986/01,76.91769231,5.79
1986/02,82.45076923,5.5475
1986/03,90.5,6.17
1986/04,106.07,7.12
1987/01,103.9938462,7.67
1987/02,98.84230769,7.905
1987/03,96.30538462,7.7975
1987/04,113.7042857,11.6225
1988/01,125.7738462,8
1988/02,43.51538462,2.18
1988/03,32.45,0.98
1988/04,40.06,1.66
1989/01,49.55769231,1.5975
1989/02,53.148,1.2725
1989/03,36.148,1.0975
1989/04,39.83307692,2.77
1990/01,42.99166667,2.5925
1990/02,38.49230769,1.8225
1990/03,31.22153846,1.5975
1990/04,27.70692308,2.45
1991/01,23.30846154,1.695
1991/02,20.04461538,0.99
1991/03,18.29461538,0.935
1991/04,17.70615385,1.9525
1992/01,14.35846154,1.2275
1992/02,13.15923077,0.715
1992/03,17.58461538,0.7075
1992/04,18.43071429,1.055
1993/01,18.345,0.8075
1993/02,16.37230769,0.5475
1993/03,14.33,0.5425
1993/04,12.89461538,0.5975
1994/01,10.28923077,0.5725
1994/02,16.645,0.4775
1994/03,15.33230769,0.535
1994/04,15.92769231,1.4225
1995/01,52.26846154,5.4675
1995/02,57.02769231,4.34
1995/03,36.58615385,1.9575
1995/04,48.29153846,2.845
1996/01,41.67538462,2.74
1996/02,32.49923077,1.9275
1996/03,29.50615385,1.4
1996/04,27.70384615,2.135
1997/01,23.08538462,1.6425
1997/02,21.52461538,0.9375
1997/03,19.97153846,0.9525
1997/04,20.49642857,1.375
1998/01,19.91666667,1.51
1998/02,19.74461538,0.97
1998/03,27.97416667,1.2425
1998/04,35.47357143,2.0425
1999/01,27.94384615,1.43
1999/02,21.13666667,0.71
1999/03,21.18428571,0.705
1999/04,18.77846154,0.965
2000/01,15.98076923,0.8375
2000/02,15.60615385,0.48
2000/03,15.51076923,0.59
2000/04,17.53307692,0.795
2001/01,17.58384615,0.4025
2001/02,12.75076923,0.1775
2001/03,9.784615385,0.4275
2001/04,8.636153846,0.4725
2002/01,7.588461538,0.48
2002/02,6.77,0.3825
2002/03,7.549230769,0.4275
2002/04,7.811538462,0.5225
2003/01,8.874615385,0.37
2003/02,6.498461538,0.0175
2003/03,5.199230769,0.3525
2003/04,5.623571429,0.5625
2004/01,5.648333333,0.4275
2004/02,6.703846154,0.08
2004/03,7.518571429,0.6
2004/04,8.486923077,0.4375
2005/01,9.299230769,0.285
2005/02,9.883076923,0.1
2005/03,9.493076923,0.29
2005/04,8.600769231,0.5425
2006/01,7.568461538,0.255
2006/02,7.246923077,0.015
2006/03,7.173076923,0.5575
2006/04,7.174615385,0.515
2007/01,7.198461538,0.24
2007/02,7.32,-0.0025
2007/03,7.362307692,0.5
2007/04,7.546923077,0.4925
2008/01,7.523076923,0.4275
2008/02,7.633846154,0.2725
2008/03,8.285384615,0.625
2008/04,8.105714286,0.685
2009/01,7.4,0.345
2009/02,5.461538462,0.1275
2009/03,4.628461538,0.3275
2009/04,4.616428571,0.58
2010/01,4.629230769,0.515
2010/02,4.64,-0.19
2010/03,4.628571429,0.41
2010/04,4.4,0.6025
2011/01,4.344615385,0.2625
2011/02,4.406153846,-0.0675
2011/03,4.26,0.39
2011/04,4.397692308,0.82
2012/01,4.427692308,0.165
2012/02,4.396923077,0.0975
2012/03,4.328461538,0.4525
2012/04,4.347692308,0.455
2013/01,4.169230769,0.4225
2013/02,3.809230769,-0.0875
2013/03,3.823076923,0.2775
2013/04,3.453846154,0.7175
2014/01,3.366153846,0.305
2014/02,3.292307692,-0.015
2014/03,2.886923077,0.4075
2014/04,2.931428571,0.44
2015/01,2.988333333,0.0625
2015/02,3.097692308,-0.11
2015/03,3.258461538,0.31
2015/04,3.212142857,0.4625
2016/01,3.605384615,0.1625
2016/02,3.98,-0.1
2016/03,4.416153846,0.44
2016/04,5.430769231,0.8875
2017/01,6.406153846,0.7525
2017/02,6.858461538,0.1575
2017/03,7.093846154,0.4525
2017/04,7.173846154,0.695
2018/01,7.534615385,0.2225
2018/02,7.751538462,0.1075
2018/03,7.901538462,0.515
2018/04,8.142307692,0.54
2019/01,8.151538462,0.125
2019/02,8.181538462,0.05
2019/03,7.952307692,0.29
2019/04,7.463076923,0.5975
